Product,Name,Type_HS2,Group_Section,first_target_ECI,growth_at_target,RCA_2022,RelativeRelatedness,PCI_2032,Effort,Added_volume_USD
8436,Other Agricultural Machinery,"Machinery, mechanical appliances, & parts",Machines,2.021,2.816,0.108,0.445,0.994,1.465,590676185.7854539
8422,Washing and Bottling Machines,"Machinery, mechanical appliances, & parts",Machines,2.021,2.816,0.066,0.692,0.997,1.524,2388824926.3839884
7613,Aluminium Gas Containers,Aluminum articles,Metals,2.021,2.816,0.058,0.46,1.058,1.554,46310526.64767584
3905,Other Vinyl Polymers,Plastics & articles thereof,Plastics and Rubbers,2.021,2.816,0.062,0.014,0.938,1.575,413138310.4089414
2903,Halogenated Hydrocarbons,Organic chemicals,Chemical Products,2.021,2.816,0.109,-1.353,0.907,1.577,904768158.0268764
7107,Silver Clad Metals,"Precious stones, metals, & pearls",Precious Metals,2.021,2.816,0.113,-1.536,1.036,1.581,10625517.588731488
7319,Iron Sewing Needles,Iron/Steel Articles,Metals,2.021,2.816,0.092,-1.167,1.009,1.596,23866537.302607417
7018,Glass Beads,Glass & glassware,Stone And Glass,2.021,2.816,0.086,-1.073,0.933,1.6,106708826.10006925
8463,Other Non-Metal Removal Machinery,"Machinery, mechanical appliances, & parts",Machines,2.021,2.816,0.048,-0.401,1.037,1.625,138424997.5265389
2926,Nitrile Compounds,Organic chemicals,Chemical Products,2.021,2.816,0.085,-1.468,0.95,1.628,445682990.74503267
8426,Cranes,"Machinery, mechanical appliances, & parts",Machines,2.021,2.816,0.02,0.232,1.038,1.637,1067596469.4729047
9702,Prints,Art & antiques,Arts and Antiques,2.021,2.816,0.083,-1.552,0.943,1.637,39631154.86187126
9611,Rubber Stamps,Misc. manufactures,Miscellaneous,2.021,2.816,0.034,-0.278,0.936,1.643,22357248.56896745
7302,Iron Railway Products,Iron/Steel Articles,Metals,2.021,2.816,0.019,0.12,0.942,1.645,269155870.3024197
9301,Military Weapons,Weapons,Weapons,2.021,2.816,0.0,0.588,0.999,1.65,111046522.05439615
1105,Potato Flours,Products of the milling industry,Vegetable Products,2.021,2.816,0.039,-0.528,1.06,1.651,73446500.61582965
3703,Photographic Paper,Photo & movie goods,Chemical Products,2.021,2.816,0.011,-0.909,0.954,1.727,38741429.69020565
3807,"Wood Tar, Oils and Pitch",Chemical products n.e.s.,Chemical Products,2.021,2.816,0.007,-0.891,1.056,1.734,10820265.0612422
3601,Propellant Powders,"Explosives, matches, & fireworks",Chemical Products,2.021,2.816,0.001,-0.827,1.097,1.741,34400191.096972175
