Product,Name,Type_HS2,Group_Section,in_baseline,in_extended,status,RCA_2022,PCI_2032,Effort,RelativeRelatedness,Added_vol_baseline,Added_vol_extended
8459,Drilling Machines,"Machinery, mechanical appliances, & parts",Machines,False,True,extended only,0.036,1.097,1.626,-0.058,0.0,214301016.07792255
2926,Nitrile Compounds,Organic chemicals,Chemical Products,False,True,extended only,0.085,0.95,1.628,-1.468,0.0,445682990.74503267
9002,Mirrors and Lenses,"Optical, photo, & film equipment; medical instruments",Instruments,False,True,extended only,0.061,1.299,1.636,-0.937,0.0,906032133.683664
8426,Cranes,"Machinery, mechanical appliances, & parts",Machines,False,True,extended only,0.02,1.038,1.637,0.232,0.0,1067596469.4729047
9702,Prints,Art & antiques,Arts and Antiques,False,True,extended only,0.083,0.943,1.637,-1.552,0.0,39631154.86187126
9611,Rubber Stamps,Misc. manufactures,Miscellaneous,False,True,extended only,0.034,0.936,1.643,-0.278,0.0,22357248.56896745
7302,Iron Railway Products,Iron/Steel Articles,Metals,False,True,extended only,0.019,0.942,1.645,0.12,0.0,269155870.3024197
8440,Book-binding Machines,"Machinery, mechanical appliances, & parts",Machines,False,True,extended only,0.054,1.268,1.645,-0.856,0.0,63509101.72490423
4810,Kaolin Coated Paper,Paper articles,Paper Goods,False,True,extended only,0.048,0.916,1.648,-0.744,0.0,2133219550.8285499
9301,Military Weapons,Weapons,Weapons,False,True,extended only,0.0,0.999,1.65,0.588,0.0,111046522.05439615
1105,Potato Flours,Products of the milling industry,Vegetable Products,False,True,extended only,0.039,1.06,1.651,-0.528,0.0,73446500.61582965
3704,Undeveloped Exposed Photographic Material,Photo & movie goods,Chemical Products,False,True,extended only,0.011,1.218,1.651,0.252,0.0,2569990.6230995515
8540,Cathode Tubes,Electrical machinery and electronics,Machines,False,True,extended only,0.036,1.303,1.651,-0.45,0.0,136013529.0844925
8464,Stone Working Machines,"Machinery, mechanical appliances, & parts",Machines,False,True,extended only,0.042,1.388,1.652,-0.616,0.0,208968971.83024648
2936,Vitamins,Organic chemicals,Chemical Products,False,True,extended only,0.078,1.286,1.656,-1.72,0.0,748136437.0752398
8455,Metal-Rolling Mills,"Machinery, mechanical appliances, & parts",Machines,False,True,extended only,0.033,1.292,1.659,-0.486,0.0,383991150.585525
2842,Other Inorganic Acids Salts,Inorganic chemicals,Chemical Products,False,True,extended only,0.026,1.4,1.664,-0.347,0.0,117572463.41925535
7222,Other Stainless Steel Bars,Iron & steel,Metals,False,True,extended only,0.044,1.394,1.675,-1.047,0.0,511296052.61065865
3002,"Vaccines, blood, antisera, toxins and cultures",Pharmaceutical products,Chemical Products,False,True,extended only,0.033,1.529,1.681,-0.836,0.0,21457249519.536392
8429,Large Construction Vehicles,"Machinery, mechanical appliances, & parts",Machines,False,True,extended only,0.01,1.446,1.684,-0.201,0.0,4001029222.0450006
2850,Hydrides and other anions,Inorganic chemicals,Chemical Products,False,True,extended only,0.03,1.53,1.689,-0.874,0.0,50742583.40395903
2929,Other Nitrogen Compounds,Organic chemicals,Chemical Products,False,True,extended only,0.021,1.319,1.693,-0.687,0.0,479357575.6814529
2940,Chemically Pure Sugars,Organic chemicals,Chemical Products,False,True,extended only,0.028,1.255,1.693,-0.88,0.0,105387153.88144071
7225,Flat Flat-Rolled Steel,Iron & steel,Metals,False,True,extended only,0.02,1.419,1.693,-0.637,0.0,2602419198.6722
