Product,Name,Type_HS2,Group_Section,in_baseline,in_extended,status,RCA_2022,PCI_2032,Effort,RelativeRelatedness,Added_vol_baseline,Added_vol_extended
7006,Glass with Edge Workings,Glass & glassware,Stone And Glass,False,True,extended only,0.084,0.875,1.324,2.742,0.0,114760430.52369456
8463,Other Non-Metal Removal Machinery,"Machinery, mechanical appliances, & parts",Machines,False,True,extended only,0.19,1.037,1.329,-0.448,0.0,76189662.22164962
2929,Other Nitrogen Compounds,Organic chemicals,Chemical Products,False,True,extended only,0.152,1.319,1.331,0.592,0.0,253046079.30526295
8445,Textile Fiber Machinery,"Machinery, mechanical appliances, & parts",Machines,False,True,extended only,0.188,1.061,1.34,-0.596,0.0,149052716.745789
4801,Newsprint,Paper articles,Paper Goods,False,True,extended only,0.244,1.264,1.345,-2.233,0.0,324977618.74702716
2920,Other Esters,Organic chemicals,Chemical Products,False,True,extended only,0.157,1.658,1.346,0.188,0.0,75891032.51848008
3507,Enzymes,"Glues, starches, & albuminoid products",Chemical Products,False,True,extended only,0.211,1.239,1.347,-1.35,0.0,286642165.8852815
6906,Ceramic Pipes,Ceramic products,Stone And Glass,False,True,extended only,0.185,0.908,1.355,-0.766,0.0,5003490.899375979
8416,Liquid Fuel Furnaces,"Machinery, mechanical appliances, & parts",Machines,False,True,extended only,0.211,1.341,1.36,-1.58,0.0,103207119.64486313
9027,Chemical Analysis Instruments,"Optical, photo, & film equipment; medical instruments",Instruments,False,True,extended only,0.175,1.871,1.362,-0.598,0.0,2197633356.679941
2936,Vitamins,Organic chemicals,Chemical Products,False,True,extended only,0.188,1.286,1.366,-1.026,0.0,411369983.36085474
6806,Rock Wool,"Stone, plaster, cement, asbestos, mica.",Stone And Glass,False,True,extended only,0.167,0.806,1.366,-0.431,0.0,214883731.04085252
8446,Looms,"Machinery, mechanical appliances, & parts",Machines,False,True,extended only,0.166,0.819,1.37,-0.477,0.0,85196673.46199118
7302,Iron Railway Products,Iron/Steel Articles,Metals,False,True,extended only,0.187,0.942,1.376,-1.16,0.0,151817621.24411395
2932,Oxygen Heterocyclic Compounds,Organic chemicals,Chemical Products,False,True,extended only,0.156,1.11,1.381,-0.374,0.0,407831495.53791064
8441,Other Paper Machinery,"Machinery, mechanical appliances, & parts",Machines,False,True,extended only,0.153,1.149,1.381,-0.29,0.0,328051439.04711074
9024,Tensile Testing Machines,"Optical, photo, & film equipment; medical instruments",Instruments,False,True,extended only,0.203,1.576,1.381,-1.705,0.0,102017747.04065384
8457,Metalworking Transfer Machines,"Machinery, mechanical appliances, & parts",Machines,False,True,extended only,0.126,1.922,1.399,0.177,0.0,352520886.5108631
8436,Other Agricultural Machinery,"Machinery, mechanical appliances, & parts",Machines,False,True,extended only,0.146,0.994,1.404,-0.475,0.0,363858629.00389844
3707,Photographic Chemicals,Photo & movie goods,Chemical Products,False,True,extended only,0.115,1.879,1.405,0.413,0.0,234063851.77307674
7508,Other Nickel Products,Nickel articles,Metals,False,True,extended only,0.175,1.165,1.405,-1.316,0.0,93777187.06102432
3001,Glands and Other Organs,Pharmaceutical products,Chemical Products,False,True,extended only,0.168,0.895,1.412,-1.236,0.0,241519342.50412235
5502,Artificial Filament Tow,Man-made staple fibres,Textiles,False,True,extended only,0.072,1.329,1.413,1.555,0.0,83108576.42410816
8448,Knitting Machine Accessories,"Machinery, mechanical appliances, & parts",Machines,False,True,extended only,0.125,1.377,1.419,-0.09,0.0,208615185.18969062
8113,Cermets,Cermet articles,Metals,False,True,extended only,0.113,1.624,1.426,0.13,0.0,46928972.36731753
8104,Magnesium,Cermet articles,Metals,False,True,extended only,0.117,1.02,1.435,-0.157,0.0,108345668.94321916
4905,Maps,"Books, newspapers, & other prints",Paper Goods,False,True,extended only,0.126,0.854,1.438,-0.47,0.0,6983833.5185901355
2925,Carboxyimide Compounds,Organic chemicals,Chemical Products,False,True,extended only,0.145,1.462,1.439,-1.01,0.0,86608990.71980602
8438,Industrial Food Preperation Machinery,"Machinery, mechanical appliances, & parts",Machines,False,True,extended only,0.143,0.873,1.442,-0.999,0.0,634295559.2767518
8427,Fork-Lifts,"Machinery, mechanical appliances, & parts",Machines,False,True,extended only,0.128,1.653,1.446,-0.647,0.0,926872603.6691638
9014,Compasses,"Optical, photo, & film equipment; medical instruments",Instruments,False,True,extended only,0.137,1.54,1.446,-0.891,0.0,331850691.58167493
2921,Amine Compounds,Organic chemicals,Chemical Products,False,True,extended only,0.11,1.122,1.447,-0.14,0.0,473183731.0095753
8519,Sound Recording Equipment,Electrical machinery and electronics,Machines,False,True,extended only,0.092,0.811,1.447,0.39,0.0,87173208.68718924
9021,Orthopedic Appliances,"Optical, photo, & film equipment; medical instruments",Instruments,False,True,extended only,0.095,1.4,1.455,0.179,0.0,2901862149.3131194
9010,Photo Lab Equipment,"Optical, photo, & film equipment; medical instruments",Instruments,False,True,extended only,0.083,2.072,1.465,0.365,0.0,1329122295.3482783
4901,Brochures,"Books, newspapers, & other prints",Paper Goods,False,True,extended only,0.097,0.808,1.479,-0.294,0.0,687142757.4662501
6603,Umbrella and Walking Stick Accessories,"Umbrellas, walking sticks, & whips",Footwear and Headwear,False,True,extended only,0.104,0.85,1.48,-0.513,0.0,19595783.843452487
6815,Other Stone Articles,"Stone, plaster, cement, asbestos, mica.",Stone And Glass,False,True,extended only,0.068,0.957,1.484,0.476,0.0,372417968.60571754
5905,Textile Wall Coverings,"Coated, covered, & laminated fabrics for industrial use",Textiles,False,True,extended only,0.115,1.152,1.488,-0.954,0.0,5367730.9095217185
5909,Hose Piping Textiles,"Coated, covered, & laminated fabrics for industrial use",Textiles,False,True,extended only,0.11,0.883,1.488,-0.83,0.0,17032030.072573043
2941,Antibiotics,Organic chemicals,Chemical Products,False,True,extended only,0.08,0.946,1.491,-0.014,0.0,507580402.0859121
7222,Other Stainless Steel Bars,Iron & steel,Metals,False,True,extended only,0.118,1.394,1.495,-1.171,0.0,297127068.49796396
8475,Glass Working Machines,"Machinery, mechanical appliances, & parts",Machines,False,True,extended only,0.074,1.224,1.505,-0.041,0.0,214246367.7109784
3004,Packaged Medicaments,Pharmaceutical products,Chemical Products,False,True,extended only,0.074,0.948,1.508,-0.107,0.0,19088263793.84243
