Code,Name,Type_HS2,Group_Section,Mcp,Added_vol,RCA_final,Relatedness_final,mar_ECI,PCI_future,RCA_start,Relatedness_start,Relative_relatedness_start,Effort_Ycp
6602,Walking Sticks,"Umbrellas, walking sticks, & whips",Footwear and Headwear,0.0,0.0,0.041383736075283555,0.2473805658365428,0.0,0.38702805857364797,0.011091899226293072,0.16387483512237808,-0.788849504325221,1.7192390528339767
6603,Umbrella and Walking Stick Accessories,"Umbrellas, walking sticks, & whips",Footwear and Headwear,0.0,0.0,0.08031474168557338,0.24274510734843632,0.0,0.8498352578766495,0.04075264945384212,0.17979362061260026,0.0837518399247556,1.6080619048773572
6701,Bird Skins and Feathers,"Feather articles, feathers, artificial flowers, & articles of human hair",Footwear and Headwear,0.0,0.0,0.09591923218462003,0.1941035030660849,-0.0,-0.8918409044185406,0.0812465007090057,0.1612197962924763,-0.9343876456257133,1.5998246027709597
6702,Artificial Vegetation,"Feather articles, feathers, artificial flowers, & articles of human hair",Footwear and Headwear,0.0,0.0,0.047871890249195186,0.2035119872277186,-0.0,-0.12831831057702514,0.045253047578952,0.14052175368365036,-2.0689679070972002,1.7402200196310802
6703,Processed Hair,"Feather articles, feathers, artificial flowers, & articles of human hair",Footwear and Headwear,0.0,0.0,0.03569973066371942,0.1962038521649216,-0.0,-1.1938494592758335,0.007756081784848585,0.160571492786501,-0.9699249365291857,1.7374077371462984
6704,Fake Hair,"Feather articles, feathers, artificial flowers, & articles of human hair",Footwear and Headwear,0.0,0.0,0.036978776389071884,0.15807183302411223,-0.0,-2.305562039722379,0.004001013149203592,0.16542566801619976,-0.7038393213130121,1.7269718690804097
6801,Curbstones,"Stone, plaster, cement, asbestos, mica.",Stone And Glass,0.0,0.0,0.10583808025783864,0.19779535337213838,-0.0,-0.6452966189555698,0.05265038583595246,0.19636390944406787,0.992065876685307,1.5294938707222436
6802,Building Stone,"Stone, plaster, cement, asbestos, mica.",Stone And Glass,0.0,0.0,0.22711677318102086,0.18989152444199742,-0.0,-0.8726453513006397,0.20749146504458363,0.1897685212170217,0.6305342362026869,1.2840644020469019
6803,Worked Slate,"Stone, plaster, cement, asbestos, mica.",Stone And Glass,0.0,0.0,0.022319355051182134,0.1782045848197744,-0.0,-0.30871442447669617,0.0065273414634157405,0.14663650694075664,-1.7337826685508777,1.7905661402357804
6804,Milling Stones,"Stone, plaster, cement, asbestos, mica.",Stone And Glass,1.0,192562671.18097505,1.2000000000000002,0.2736856721640978,0.00492760214345771,1.3058145680162931,0.43046929557624775,0.18861370683417567,0.5672321342019021,0.9317642496348573
6805,Abrasive Powder,"Stone, plaster, cement, asbestos, mica.",Stone And Glass,1.0,0.0,1.277409854555595,0.29133057802858026,-0.0012262323229127623,1.2407241594562763,1.625802209165979,0.2226252961716663,-0.21878143524197022,-0.5291874567373509
6806,Rock Wool,"Stone, plaster, cement, asbestos, mica.",Stone And Glass,0.0,0.0,0.40071162415037365,0.2514090060245025,0.0,0.8063851356493922,0.40632302278487836,0.20032436475055068,1.209161497855752,0.9326170223258088
6807,Asphalt,"Stone, plaster, cement, asbestos, mica.",Stone And Glass,0.0,0.0,0.44650925376551964,0.22146585150181422,-0.0,-0.03006459512831266,0.4637891668839509,0.19986228364767825,1.1838321414317545,0.8464473604901905
6808,Vegetable Fiber,"Stone, plaster, cement, asbestos, mica.",Stone And Glass,0.0,0.0,0.3659260868593219,0.2453806460764221,0.0,0.6336740935742505,0.37082608039514364,0.19523145544213183,0.9299894773897938,1.0034035603899252
6809,Plaster Articles,"Stone, plaster, cement, asbestos, mica.",Stone And Glass,1.0,0.0,2.7843608671789917,0.23976400755543426,0.00030908985004401236,-0.31274273008998693,3.6811048450694273,0.22689485747209634,0.19869812369063172,-2.648702068816942
6810,Cement Articles,"Stone, plaster, cement, asbestos, mica.",Stone And Glass,0.0,0.0,0.8494973333054414,0.2301108337022376,0.0,0.47953137059390827,0.972563852263172,0.2008128068842342,1.2359358559060165,0.12252429642320584
6811,Asbestos Cement Articles,"Stone, plaster, cement, asbestos, mica.",Stone And Glass,0.0,0.0,0.8820525213004434,0.2349199222613255,0.0003942078124453277,-0.08278364061351881,1.0575061177255618,0.22915274029702026,0.41947488728360144,0.01824769328573339
6812,Asbestos Fibres,"Stone, plaster, cement, asbestos, mica.",Stone And Glass,0.0,0.0,0.19145600641713312,0.22945000423822212,0.0,0.016567939940022963,0.16004283217827478,0.19288295663128052,0.8012545798326235,1.3537076360301072
6813,Friction Material,"Stone, plaster, cement, asbestos, mica.",Stone And Glass,0.0,0.0,0.4606850273747797,0.25753514786788945,0.0,0.4075785371262493,0.5066123444447697,0.18394515633042902,0.3113216912996797,0.8306410984500152
6814,Processed Mica,"Stone, plaster, cement, asbestos, mica.",Stone And Glass,0.0,0.0,0.06939295236207567,0.26661191788962446,0.0,0.9179062089808466,0.04439308735595834,0.16481604536690755,-0.7372562891831023,1.6541190642620816
6815,Other Stone Articles,"Stone, plaster, cement, asbestos, mica.",Stone And Glass,1.0,151499708.6328063,1.2000000000000002,0.2793735355602044,0.0036112357111227774,0.956977463447536,0.9047831233863844,0.2001468310923779,1.199429844089431,0.2159969933788175
6901,Bricks,Ceramic products,Stone And Glass,0.0,0.0,0.12093007228457081,0.21005156788107313,-0.0,-0.696358873750402,0.06899080660569015,0.19786149256074353,1.074157129283687,1.495257529072262
6902,Refractory Bricks,Ceramic products,Stone And Glass,0.0,0.0,0.26309349295620416,0.2483572925289862,0.0,0.5592709287227108,0.25263473138848724,0.18901581800169834,0.589274189202501,1.2119526455298337
6903,Refractory Ceramics,Ceramic products,Stone And Glass,1.0,0.0,1.3664302729095086,0.286537429284958,-0.0009042989072794376,0.9149860761836487,1.7809252210875357,0.21821560629596362,-0.6499628271457434,-0.6625387332263615
