hs4,code_trade,product_name,hs2_code,hs2_name,section
2715,2715,Asphalt Mixtures,27,"Mineral fuels, mineral oils and products of their distillation",Mineral Products
2716,2716,Electricity,27,"Mineral fuels, mineral oils and products of their distillation",Mineral Products
2801,2801,Halogens,28,Inorganic chemicals,Chemical Products
2802,2802,Sulfur,28,Inorganic chemicals,Chemical Products
2803,2803,Carbon,28,Inorganic chemicals,Chemical Products
2804,2804,Hydrogen,28,Inorganic chemicals,Chemical Products
2805,2805,"Alkali, alkaline-earth, rare-earth metals, scandium, yttrium, and mercury",28,Inorganic chemicals,Chemical Products
2806,2806,Hydrochloric Acid,28,Inorganic chemicals,Chemical Products
2807,2807,Sulfuric Acid,28,Inorganic chemicals,Chemical Products
2808,2808,Nitric Acids,28,Inorganic chemicals,Chemical Products
2809,2809,Phosphoric Acid,28,Inorganic chemicals,Chemical Products
2810,2810,Boron,28,Inorganic chemicals,Chemical Products
2811,2811,Other Inorganic Acids,28,Inorganic chemicals,Chemical Products
2812,2812,Halides,28,Inorganic chemicals,Chemical Products
2813,2813,Nonmetal Sulfides,28,Inorganic chemicals,Chemical Products
2814,2814,Ammonia,28,Inorganic chemicals,Chemical Products
2815,2815,Sodium or Potassium Peroxides,28,Inorganic chemicals,Chemical Products
2816,2816,Magnesium Hydroxide and Peroxide,28,Inorganic chemicals,Chemical Products
2817,2817,Zinc Oxide and Peroxide,28,Inorganic chemicals,Chemical Products
2818,2818,Aluminium Oxide,28,Inorganic chemicals,Chemical Products
2819,2819,Chromium Oxides and Hydroxides,28,Inorganic chemicals,Chemical Products
2820,2820,Manganese Oxides,28,Inorganic chemicals,Chemical Products
2821,2821,Iron Oxides and Hydroxides,28,Inorganic chemicals,Chemical Products
2822,2822,Cobalt Oxides and Hydroxides,28,Inorganic chemicals,Chemical Products
2823,2823,Titanium Oxides,28,Inorganic chemicals,Chemical Products
2824,2824,Lead Oxides,28,Inorganic chemicals,Chemical Products
2825,2825,Inorganic Salts,28,Inorganic chemicals,Chemical Products
2826,2826,Fluorides,28,Inorganic chemicals,Chemical Products
2827,2827,Chlorides,28,Inorganic chemicals,Chemical Products
2828,2828,Hypochlorites,28,Inorganic chemicals,Chemical Products
2829,2829,Chlorates and Perchlorates,28,Inorganic chemicals,Chemical Products
2830,2830,Sulfides,28,Inorganic chemicals,Chemical Products
2831,2831,Dithionites and Sulfoxylates,28,Inorganic chemicals,Chemical Products
2832,2832,Sulfites,28,Inorganic chemicals,Chemical Products
2833,2833,Sulfates,28,Inorganic chemicals,Chemical Products
2834,2834,Nitrites and Nitrates,28,Inorganic chemicals,Chemical Products
2835,2835,Phosphinates (hypophosphites) and phosphonates (phosphites),28,Inorganic chemicals,Chemical Products
2836,2836,Carbonates,28,Inorganic chemicals,Chemical Products
2837,2837,Cyanides,28,Inorganic chemicals,Chemical Products
2838,2838,Fulminates,28,Inorganic chemicals,Chemical Products
2839,2839,Silicates,28,Inorganic chemicals,Chemical Products
2840,2840,Borates,28,Inorganic chemicals,Chemical Products
2841,2841,Oxometallic or Peroxometallic Acid Salts,28,Inorganic chemicals,Chemical Products
2842,2842,Other Inorganic Acids Salts,28,Inorganic chemicals,Chemical Products
2843,2843,Precious Metal Compounds,28,Inorganic chemicals,Chemical Products
2844,2844,Radioactive Chemicals,28,Inorganic chemicals,Chemical Products
2845,2845,Other Isotopes,28,Inorganic chemicals,Chemical Products
2846,2846,Rare-Earth Metal Compounds,28,Inorganic chemicals,Chemical Products
2847,2847,Hydrogen peroxide,28,Inorganic chemicals,Chemical Products
2848,2848,Phosphides,28,Inorganic chemicals,Chemical Products
2849,2849,Carbides,28,Inorganic chemicals,Chemical Products
2850,2850,Hydrides and other anions,28,Inorganic chemicals,Chemical Products
2851,2851,Inorganic Compounds,28,Inorganic chemicals,Chemical Products
2901,2901,Acyclic Hydrocarbons,29,Organic chemicals,Chemical Products
2902,2902,Cyclic Hydrocarbons,29,Organic chemicals,Chemical Products
2903,2903,Halogenated Hydrocarbons,29,Organic chemicals,Chemical Products
2904,2904,"Sulfonated, Nitrated or Nitrosated Hydrocarbons",29,Organic chemicals,Chemical Products
2905,2905,"Acyclic alcohol derivatives (halogenated, sulphonated, nitrated)",29,Organic chemicals,Chemical Products
2906,2906,Cyclic Alcohols,29,Organic chemicals,Chemical Products
2907,2907,Phenols,29,Organic chemicals,Chemical Products
2908,2908,Phenol Derivatives,29,Organic chemicals,Chemical Products
2909,2909,Ethers,29,Organic chemicals,Chemical Products
2910,2910,Epoxides,29,Organic chemicals,Chemical Products
2911,2911,Acetals and Hemiacetals,29,Organic chemicals,Chemical Products
2912,2912,"Aldehydes, cyclic polymers, and paraformaldehyde",29,Organic chemicals,Chemical Products
2913,2913,Halogenated aldehyde derivatives (heading 2912),29,Organic chemicals,Chemical Products
2914,2914,Ketones and Quinones,29,Organic chemicals,Chemical Products
2915,2915,Saturated Acyclic Monocarboxylic Acids,29,Organic chemicals,Chemical Products
2916,2916,Unsaturated Acyclic Monocarboxylic Acids,29,Organic chemicals,Chemical Products
2917,2917,Polycarboxylic Acids,29,Organic chemicals,Chemical Products
2918,2918,Carboxylic Acids,29,Organic chemicals,Chemical Products
2919,2919,Phosphoric Esters and Salts,29,Organic chemicals,Chemical Products
2920,2920,Other Esters,29,Organic chemicals,Chemical Products
2921,2921,Amine Compounds,29,Organic chemicals,Chemical Products
2922,2922,Oxygen Amino Compounds,29,Organic chemicals,Chemical Products
2923,2923,Quaternary Ammonium Salts and Hydroxides,29,Organic chemicals,Chemical Products
2924,2924,Carboxyamide Compounds,29,Organic chemicals,Chemical Products
2925,2925,Carboxyimide Compounds,29,Organic chemicals,Chemical Products
