Country,Year,GDP_pc
ARE,2004,55611.419401142
ARG,2004,10302.4465316428
ARM,2004,1955.22262459229
AUS,2004,50018.5904483861
AUT,2004,40333.3307183894
AZE,2004,2111.4533834475
BEL,2004,37976.6972967442
BEN,2004,907.624431209378
BFA,2004,474.086412333459
BGD,2004,702.656357081873
BGR,2004,4849.87141310477
BIH,2004,3063.83543448936
BLR,2004,3520.40452642524
BOL,2004,2099.990810637
BRA,2004,7258.78101654079
BWA,2004,5369.42516766112
CAN,2004,40108.7587456658
CHE,2004,74718.6836260364
CHL,2004,9642.37478651228
CHN,2004,3127.86276523632
CIV,2004,1451.86547141894
CMR,2004,1271.74326874167
COD,2004,341.714925751419
COG,2004,2058.88402946896
COL,2004,4311.91591255233
CRI,2004,8445.52914945791
CUB,2004,4670.18802138025
CZE,2004,14259.63342798
DEU,2004,35687.6378708542
DNK,2004,50956.3045398814
DOM,2004,4212.01044121773
DZA,2004,4066.28204806495
ECU,2004,4430.23717984188
EGY,2004,2574.42341789124
ESP,2004,25825.3106463315
ETH,2004,267.923513391712
FIN,2004,41521.962874476
FRA,2004,34557.1471111581
GAB,2004,7148.98713447497
GBR,2004,42434.8209023638
GEO,2004,2105.00472843799
GHA,2004,1108.30475353633
GIN,2004,645.182843390689
GRC,2004,21688.1050959558
GTM,2004,3250.20406037693
HKG,2004,30304.3126863152
HND,2004,1908.90950050464
HRV,2004,11059.0980614364
HUN,2004,10786.4881991495
IDN,2004,2065.70617470842
IND,2004,892.596614581612
IRL,2004,48856.3238587396
IRN,2004,4607.45169088209
IRQ,2004,3354.26588756715
ISR,2004,28883.247588548
ITA,2004,33348.9744820456
JAM,2004,5507.20135110043
JOR,2004,3935.15704743447
JPN,2004,32515.1158024695
KAZ,2004,6233.29439373307
KEN,2004,1191.25443604556
KGZ,2004,831.482103944381
KHM,2004,775.847139030978
KOR,2004,21244.8136800528
KWT,2004,37918.5405829238
LAO,2004,1088.76034728831
LBN,2004,6633.75258002393
LBR,2004,535.995882066218
LBY,2004,11529.1086646221
LKA,2004,2149.10628588002
LTU,2004,8851.92598922347
MAR,2004,2301.08178710938
MDA,2004,1781.19145323724
MDG,2004,443.278654985967
MEX,2004,9421.28975988024
MKD,2004,3473.76544811451
MLI,2004,800.501816706213
MMR,2004,463.33013572168
MNG,2004,1942.36263694017
MOZ,2004,377.064958084878
MRT,2004,1338.66768122804
MWI,2004,408.064916052765
MYS,2004,7025.34558004381
